# x y y rain_c infi_c fric_c 
5.375 2.375 1 2 3
5.625 2.375 1 2 3
5.875 2.375 1 2 3
6.125 2.375 1 2 3
6.375 2.375 1 2 3
6.625 2.375 1 2 3
6.875 2.375 1 2 3
7.125 2.375 1 2 3
7.375 2.375 1 2 3
7.625 2.375 1 2 3
7.875 2.375 1 2 3
8.125 2.375 1 2 3
8.375 2.375 1 2 3
8.625 2.375 1 2 3
8.875 2.375 1 2 3
9.125 2.375 1 2 3
9.375 2.375 1 2 3
9.625 2.375 1 2 3
9.875 2.375 1 2 3
10.125 2.375 1 2 3
10.375 2.375 1 2 3
10.625 2.375 1 2 3
10.875 2.375 1 2 3
11.125 2.375 1 2 3
11.375 2.375 1 2 3
11.625 2.375 1 2 3
11.875 2.375 1 2 3
12.125 2.375 1 2 3
12.375 2.375 1 2 3
12.625 2.375 1 2 3
12.875 2.375 1 2 3
13.125 2.375 1 2 3
13.375 2.375 1 2 3
13.625 2.375 1 2 3
13.875 2.375 1 2 3
14.125 2.375 1 2 3
0.125 2.625 1 2 3
0.375 2.625 1 2 3
0.625 2.625 1 2 3
0.875 2.625 1 2 3
1.125 2.625 1 2 3
1.375 2.625 1 2 3
1.625 2.625 1 2 3
1.875 2.625 1 2 3
2.125 2.625 1 2 3
2.375 2.625 1 2 3
2.625 2.625 1 2 3
2.875 2.625 1 2 3
3.125 2.625 1 2 3
3.375 2.625 1 2 3
3.625 2.625 1 2 3
3.875 2.625 1 2 3
4.125 2.625 1 2 3
4.375 2.625 1 2 3
4.625 2.625 1 2 3
4.875 2.625 1 2 3
5.125 2.625 1 2 3
5.375 2.625 1 2 3
5.625 2.625 1 2 3
5.875 2.625 1 2 3
6.125 2.625 1 2 3
6.375 2.625 1 2 3
6.625 2.625 1 2 3
6.875 2.625 1 2 3
7.125 2.625 1 2 3
7.375 2.625 1 2 3
7.625 2.625 1 2 3
7.875 2.625 1 2 3
8.125 2.625 1 2 3
8.375 2.625 1 2 3
8.625 2.625 1 2 3
8.875 2.625 1 2 3
9.125 2.625 1 2 3
9.375 2.625 1 2 3
9.625 2.625 1 2 3
9.875 2.625 1 2 3
10.125 2.625 1 2 3
10.375 2.625 1 2 3
10.625 2.625 1 2 3
10.875 2.625 1 2 3
11.125 2.625 1 2 3
11.375 2.625 1 2 3
11.625 2.625 1 2 3
11.875 2.625 1 2 3
12.125 2.625 1 2 3
12.375 2.625 1 2 3
12.625 2.625 1 2 3
12.875 2.625 1 2 3
13.125 2.625 1 2 3
13.375 2.625 1 2 3
13.625 2.625 1 2 3
13.875 2.625 1 2 3
14.125 2.625 1 2 3
0.125 2.875 1 2 3
0.375 2.875 1 2 3
0.625 2.875 1 2 3
0.875 2.875 1 2 3
1.125 2.875 1 2 3
1.375 2.875 1 2 3
1.625 2.875 1 2 3
1.875 2.875 1 2 3
2.125 2.875 1 2 3
2.375 2.875 1 2 3
2.625 2.875 1 2 3
2.875 2.875 1 2 3
3.125 2.875 1 2 3
3.375 2.875 1 2 3
3.625 2.875 1 2 3
3.875 2.875 1 2 3
4.125 2.875 1 2 3
4.375 2.875 1 2 3
4.625 2.875 1 2 3
4.875 2.875 1 2 3
5.125 2.875 1 2 3
5.375 2.875 1 2 3
5.625 2.875 1 2 3
5.875 2.875 1 2 3
6.125 2.875 1 2 3
6.375 2.875 1 2 3
6.625 2.875 1 2 3
6.875 2.875 1 2 3
7.125 2.875 1 2 3
7.375 2.875 1 2 3
7.625 2.875 1 2 3
7.875 2.875 1 2 3
8.125 2.875 1 2 3
8.375 2.875 1 2 3
8.625 2.875 1 2 3
8.875 2.875 1 2 3
9.125 2.875 1 2 3
9.375 2.875 1 2 3
9.625 2.875 1 2 3
9.875 2.875 1 2 3
10.125 2.875 1 2 3
10.375 2.875 1 2 3
10.625 2.875 1 2 3
10.875 2.875 1 2 3
11.125 2.875 1 2 3
11.375 2.875 1 2 3
11.625 2.875 1 2 3
11.875 2.875 1 2 3
12.125 2.875 1 2 3
12.375 2.875 1 2 3
12.625 2.875 1 2 3
12.875 2.875 1 2 3
13.125 2.875 1 2 3
13.375 2.875 1 2 3
13.625 2.875 1 2 3
13.875 2.875 1 2 3
14.125 2.875 1 2 3
0.125 3.125 1 2 3
0.375 3.125 1 2 3
0.625 3.125 1 2 3
0.875 3.125 1 2 3
1.125 3.125 1 2 3
1.375 3.125 1 2 3
1.625 3.125 1 2 3
1.875 3.125 1 2 3
2.125 3.125 1 2 3
2.375 3.125 1 2 3
2.625 3.125 1 2 3
2.875 3.125 1 2 3
3.125 3.125 1 2 3
3.375 3.125 1 2 3
3.625 3.125 1 2 3
3.875 3.125 1 2 3
4.125 3.125 1 2 3
4.375 3.125 1 2 3
4.625 3.125 1 2 3
4.875 3.125 1 2 3
5.125 3.125 1 2 3
5.375 3.125 1 2 3
5.625 3.125 1 2 3
5.875 3.125 1 2 3
6.125 3.125 1 2 3
6.375 3.125 1 2 3
6.625 3.125 1 2 3
6.875 3.125 1 2 3
7.125 3.125 1 2 3
7.375 3.125 1 2 3
7.625 3.125 1 2 3
7.875 3.125 1 2 3
8.125 3.125 1 2 3
8.375 3.125 1 2 3
8.625 3.125 1 2 3
8.875 3.125 1 2 3
9.125 3.125 1 2 3
9.375 3.125 1 2 3
9.625 3.125 1 2 3
9.875 3.125 1 2 3
10.125 3.125 1 2 3
10.375 3.125 1 2 3
10.625 3.125 1 2 3
10.875 3.125 1 2 3
11.125 3.125 1 2 3
11.375 3.125 1 2 3
11.625 3.125 1 2 3
11.875 3.125 1 2 3
12.125 3.125 1 2 3
12.375 3.125 1 2 3
12.625 3.125 1 2 3
12.875 3.125 1 2 3
13.125 3.125 1 2 3
13.375 3.125 1 2 3
13.625 3.125 1 2 3
13.875 3.125 1 2 3
14.125 3.125 1 2 3
0.125 3.375 1 2 3
0.375 3.375 1 2 3
0.625 3.375 1 2 3
0.875 3.375 1 2 3
1.125 3.375 1 2 3
1.375 3.375 1 2 3
1.625 3.375 1 2 3
1.875 3.375 1 2 3
2.125 3.375 1 2 3
2.375 3.375 1 2 3
2.625 3.375 1 2 3
2.875 3.375 1 2 3
3.125 3.375 1 2 3
3.375 3.375 1 2 3
3.625 3.375 1 2 3
3.875 3.375 1 2 3
4.125 3.375 1 2 3
4.375 3.375 1 2 3
4.625 3.375 1 2 3
4.875 3.375 1 2 3
5.125 3.375 1 2 3
5.375 3.375 1 2 3
5.625 3.375 1 2 3
5.875 3.375 1 2 3
6.125 3.375 1 2 3
6.375 3.375 1 2 3
6.625 3.375 1 2 3
6.875 3.375 1 2 3
7.125 3.375 1 2 3
7.375 3.375 1 2 3
7.625 3.375 1 2 3
7.875 3.375 1 2 3
8.125 3.375 1 2 3
8.375 3.375 1 2 3
8.625 3.375 1 2 3
8.875 3.375 1 2 3
9.125 3.375 1 2 3
9.375 3.375 1 2 3
9.625 3.375 1 2 3
9.875 3.375 1 2 3
10.125 3.375 1 2 3
10.375 3.375 1 2 3
10.625 3.375 1 2 3
10.875 3.375 1 2 3
11.125 3.375 1 2 3
11.375 3.375 1 2 3
11.625 3.375 1 2 3
11.875 3.375 1 2 3
12.125 3.375 1 2 3
12.375 3.375 1 2 3
12.625 3.375 1 2 3
12.875 3.375 1 2 3
13.125 3.375 1 2 3
13.375 3.375 1 2 3
13.625 3.375 1 2 3
13.875 3.375 1 2 3
14.125 3.375 1 2 3
0.125 3.625 1 2 3
0.375 3.625 1 2 3
0.625 3.625 1 2 3
0.875 3.625 1 2 3
1.125 3.625 1 2 3
1.375 3.625 1 2 3
1.625 3.625 1 2 3
1.875 3.625 1 2 3
2.125 3.625 1 2 3
2.375 3.625 1 2 3
2.625 3.625 1 2 3
2.875 3.625 1 2 3
3.125 3.625 1 2 3
3.375 3.625 1 2 3
3.625 3.625 1 2 3
3.875 3.625 1 2 3
4.125 3.625 1 2 3
4.375 3.625 1 2 3
4.625 3.625 1 2 3
4.875 3.625 1 2 3
5.125 3.625 1 2 3
5.375 3.625 1 2 3
5.625 3.625 1 2 3
5.875 3.625 1 2 3
6.125 3.625 1 2 3
6.375 3.625 1 2 3
6.625 3.625 1 2 3
6.875 3.625 1 2 3
7.125 3.625 1 2 3
7.375 3.625 1 2 3
7.625 3.625 1 2 3
7.875 3.625 1 2 3
8.125 3.625 1 2 3
8.375 3.625 1 2 3
8.625 3.625 1 2 3
8.875 3.625 1 2 3
9.125 3.625 1 2 3
9.375 3.625 1 2 3
9.625 3.625 1 2 3
9.875 3.625 1 2 3
10.125 3.625 1 2 3
10.375 3.625 1 2 3
10.625 3.625 1 2 3
10.875 3.625 1 2 3
11.125 3.625 1 2 3
11.375 3.625 1 2 3
11.625 3.625 1 2 3
11.875 3.625 1 2 3
12.125 3.625 1 2 3
12.375 3.625 1 2 3
12.625 3.625 1 2 3
12.875 3.625 1 2 3
13.125 3.625 1 2 3
13.375 3.625 1 2 3
13.625 3.625 1 2 3
13.875 3.625 1 2 3
14.125 3.625 1 2 3
0.125 3.875 1 2 3
0.375 3.875 1 2 3
0.625 3.875 1 2 3
0.875 3.875 1 2 3
1.125 3.875 1 2 3
1.375 3.875 1 2 3
1.625 3.875 1 2 3
1.875 3.875 1 2 3
2.125 3.875 1 2 3
2.375 3.875 1 2 3
2.625 3.875 1 2 3
2.875 3.875 1 2 3
3.125 3.875 1 2 3
3.375 3.875 1 2 3
3.625 3.875 1 2 3
3.875 3.875 1 2 3
4.125 3.875 1 2 3
4.375 3.875 1 2 3
4.625 3.875 1 2 3
4.875 3.875 1 2 3
5.125 3.875 1 2 3
5.375 3.875 1 2 3
5.625 3.875 1 2 3
5.875 3.875 1 2 3
6.125 3.875 1 2 3
6.375 3.875 1 2 3
6.625 3.875 1 2 3
6.875 3.875 1 2 3
7.125 3.875 1 2 3
7.375 3.875 1 2 3
7.625 3.875 1 2 3
7.875 3.875 1 2 3
8.125 3.875 1 2 3
8.375 3.875 1 2 3
8.625 3.875 1 2 3
8.875 3.875 1 2 3
9.125 3.875 1 2 3
9.375 3.875 1 2 3
9.625 3.875 1 2 3
9.875 3.875 1 2 3
10.125 3.875 1 2 3
10.375 3.875 1 2 3
10.625 3.875 1 2 3
10.875 3.875 1 2 3
11.125 3.875 1 2 3
11.375 3.875 1 2 3
11.625 3.875 1 2 3
11.875 3.875 1 2 3
12.125 3.875 1 2 3
12.375 3.875 1 2 3
12.625 3.875 1 2 3
12.875 3.875 1 2 3
13.125 3.875 1 2 3
13.375 3.875 1 2 3
13.625 3.875 1 2 3
13.875 3.875 1 2 3
14.125 3.875 1 2 3
0.125 4.125 1 2 3
0.375 4.125 1 2 3
0.625 4.125 1 2 3
0.875 4.125 1 2 3
1.125 4.125 1 2 3
1.375 4.125 1 2 3
1.625 4.125 1 2 3
1.875 4.125 1 2 3
2.125 4.125 1 2 3
2.375 4.125 1 2 3
2.625 4.125 1 2 3
2.875 4.125 1 2 3
3.125 4.125 1 2 3
3.375 4.125 1 2 3
3.625 4.125 1 2 3
3.875 4.125 1 2 3
4.125 4.125 1 2 3
4.375 4.125 1 2 3
4.625 4.125 1 2 3
4.875 4.125 1 2 3
5.125 4.125 1 2 3
5.375 4.125 1 2 3
5.625 4.125 1 2 3
5.875 4.125 1 2 3
6.125 4.125 1 2 3
6.375 4.125 1 2 3
6.625 4.125 1 2 3
6.875 4.125 1 2 3
7.125 4.125 1 2 3
7.375 4.125 1 2 3
7.625 4.125 1 2 3
7.875 4.125 1 2 3
8.125 4.125 1 2 3
8.375 4.125 1 2 3
8.625 4.125 1 2 3
8.875 4.125 1 2 3
9.125 4.125 1 2 3
9.375 4.125 1 2 3
9.625 4.125 1 2 3
9.875 4.125 1 2 3
10.125 4.125 1 2 3
10.375 4.125 1 2 3
10.625 4.125 1 2 3
10.875 4.125 1 2 3
11.125 4.125 1 2 3
11.375 4.125 1 2 3
11.625 4.125 1 2 3
11.875 4.125 1 2 3
12.125 4.125 1 2 3
12.375 4.125 1 2 3
12.625 4.125 1 2 3
12.875 4.125 1 2 3
13.125 4.125 1 2 3
13.375 4.125 1 2 3
13.625 4.125 1 2 3
13.875 4.125 1 2 3
14.125 4.125 1 2 3
0.125 4.375 1 2 3
0.375 4.375 1 2 3
0.625 4.375 1 2 3
0.875 4.375 1 2 3
1.125 4.375 1 2 3
1.375 4.375 1 2 3
1.625 4.375 1 2 3
1.875 4.375 1 2 3
2.125 4.375 1 2 3
2.375 4.375 1 2 3
2.625 4.375 1 2 3
2.875 4.375 1 2 3
3.125 4.375 1 2 3
3.375 4.375 1 2 3
3.625 4.375 1 2 3
3.875 4.375 1 2 3
4.125 4.375 1 2 3
4.375 4.375 1 2 3
4.625 4.375 1 2 3
4.875 4.375 1 2 3
5.125 4.375 1 2 3
5.375 4.375 1 2 3
5.625 4.375 1 2 3
5.875 4.375 1 2 3
6.125 4.375 1 2 3
